epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4927,1.29279,3.46567,1.41657,0.30162,0.40636,0.2759,0.15293,1.37385,2.81194,1.47837,0.000474601,0.000474601,0.000474601
2,46.4487,1.36699,2.6851,1.44574,0.5447,0.43902,0.49551,0.29607,1.3698,2.60398,1.45432,0.000888173,0.000888173,0.000888173
3,66.2068,1.3816,2.22291,1.44776,0.51367,0.5363,0.53023,0.30843,1.42537,1.80834,1.45638,0.00123887,0.00123887,0.00123887
4,89.4269,1.38167,1.9477,1.42545,0.58965,0.63033,0.64361,0.4247,1.20163,1.75615,1.27663,0.00114606,0.00114606,0.00114606
5,107.969,1.24842,1.66097,1.36293,0.72493,0.69891,0.7477,0.48451,1.21764,1.54774,1.29804,0.00105174,0.00105174,0.00105174
6,140.845,1.24218,1.60101,1.35326,0.71988,0.60208,0.69049,0.44902,1.18778,1.38553,1.28293,0.00095743,0.00095743,0.00095743
7,158.455,1.17412,1.3809,1.31129,0.79349,0.71944,0.80971,0.54096,1.13756,1.22452,1.2255,0.000863116,0.000863116,0.000863116
8,175.747,1.13382,1.2581,1.28609,0.84614,0.7342,0.82309,0.56358,1.13204,1.09674,1.21765,0.000768802,0.000768802,0.000768802
9,193.002,1.07137,1.13414,1.23716,0.8367,0.79301,0.8675,0.61213,1.0648,1.04334,1.2059,0.000674488,0.000674488,0.000674488
10,210.228,1.02601,1.06227,1.19448,0.86355,0.73408,0.82911,0.56513,1.12432,1.04364,1.21657,0.000580174,0.000580174,0.000580174
11,227.787,0.99688,0.99079,1.18017,0.85399,0.85625,0.88021,0.65903,1.00096,0.89854,1.16537,0.00048586,0.00048586,0.00048586
12,245.106,0.95712,0.87815,1.16932,0.89939,0.85076,0.90192,0.67303,0.98667,0.85498,1.14579,0.000391546,0.000391546,0.000391546
13,263.029,0.91829,0.76605,1.13636,0.8801,0.88555,0.91031,0.70505,0.93191,0.76895,1.10678,0.000297232,0.000297232,0.000297232
14,280.316,0.86799,0.7331,1.10477,0.92888,0.87779,0.92184,0.70408,0.92983,0.73426,1.10201,0.000202918,0.000202918,0.000202918
15,297.576,0.82166,0.68772,1.08005,0.93165,0.88285,0.92696,0.71565,0.90807,0.70797,1.08896,0.000108604,0.000108604,0.000108604
